road,points,toll,geometry
solapur road,,,"LINESTRING (73.869213286346 18.501438352577864, 73.87009604436264 18.501644768878123, 73.87115429600729 18.50182707357517, 73.87225966568738 18.50182707357517, 73.8734363495409 18.501843980623846, 73.87413486803308 18.50190119287906, 73.87492924809831 18.50190119287906, 73.87601523603533 18.502177728228162, 73.87731238829272 18.502473334487505, 73.87832798812252 18.502740333249776, 73.87933353250807 18.50297872465005, 73.88139285127855 18.504476453270286, 73.88314281001158 18.505381623900178, 73.8838984740103 18.506399935137395, 73.8852109430594 18.506739370870264, 73.88747793505442 18.506626225700003, 73.89046081925841 18.506437650251158, 73.89221077799132 18.506135929101376, 73.89483571609082 18.506437650251158, 73.89686404801188 18.506814810969473, 73.89948898611135 18.506550805574463, 73.90517635199416 18.506550805574463, 73.91082394608611 18.50628679977116, 73.91313069459147 18.506211396791088, 73.91718741710906 18.505230799813134, 73.92279523941255 18.50364674667472, 73.92752808234945 18.502364407209456, 74.00025846266095 18.492166117934474)"
kharadi bypass,,,"LINESTRING (73.93860057614191 18.56214028784322, 73.93814066288232 18.55843914021156, 73.93753885539422 18.55408884425536, 73.93717776072694 18.551079199010303, 73.93656089066724 18.548554479378538, 73.9359440167614 18.545893783689422, 73.93486582441031 18.54142922164354, 73.93376751022396 18.53569770757754, 73.93277449988528 18.532288307069535, 73.93217267543736 18.531503707368117, 73.93241340538898 18.52911379801229, 73.93223285805536 18.526160776477113, 73.93218771934528 18.523093585089683, 73.93211249128842 18.521353101832105, 73.93241339378577 18.520354473001788, 73.93268421478808 18.51869956119252, 73.93297008140027 18.51645969815671, 73.93266915839519 18.51500451359479, 73.93242842861639 18.513335283031807, 73.93233815494958 18.51135215889164, 73.93012645010504 18.508784050314546, 73.92786065518814 18.506293013234156, 73.92766506224268 18.504295539742344, 73.9275017877381 18.502371352938482)"
nagar road,,,"LINESTRING (73.85507120984832 18.530285070600385, 73.85804053828596 18.52956913231759, 73.85983120842886 18.52976796119735, 73.86259355910053 18.529581902987147, 73.86444833637012 18.530114947543467, 73.86642027894854 18.530110343272924, 73.86850084438515 18.530018326923667, 73.87116235913487 18.52947797747173, 73.87436478002789 18.529644447631156, 73.87723062567233 18.532066320577172, 73.87980598883462 18.534832897667158, 73.88219031737975 18.538495235957413, 73.88351867170192 18.54059100882553, 73.88548096388737 18.541555253695265, 73.88478665274636 18.544932105010545, 73.88773601412407 18.545533461326926, 73.89062530234975 18.546442148245717, 73.89414381368152 18.550431836650972, 73.89620167764923 18.551832496423643, 73.9002059977444 18.55356421310951, 73.90445871202371 18.55442271193496, 73.90682186119801 18.555500954451134, 73.909898160382 18.55813400636687, 73.91325379376752 18.559078946104194, 73.91597003420554 18.560389522340174, 73.91938765108111 18.561152295259106, 73.92380641216016 18.56254147771692, 73.92705873321319 18.562702803636398, 73.93006550375031 18.562980675220246, 73.93217333480837 18.56324291207973, 73.93509042806357 18.563433340103046, 73.9386004585036 18.562139930620376, 73.9420403985925 18.563324111673552, 73.94413813797522 18.56572646593247, 73.94534720777943 18.566648953863066, 73.9489479538413 18.56787522771866, 73.95317811455396 18.570495478763448, 73.95558697885784 18.57234877768302, 73.95950762283027 18.574402460281576, 73.96474180502335 18.576181202515812, 73.96850773059896 18.57715525137327, 73.97154968155218 18.578148367267232, 73.97398999580938 18.579379393895735, 73.97728510985138 18.580548082866144, 73.97971784697802 18.58087140762011, 73.98309927464612 18.580616306519246, 73.98479721303403 18.580965737029544)"
baner road,,,"LINESTRING (73.85294656566353 18.529299616692896, 73.84347915045117 18.531839305622114, 73.83946129233226 18.53437890272106, 73.83036368827919 18.540989968467144, 73.8286144591936 18.542164853404486, 73.82609905615061 18.542576947154032, 73.82423567997503 18.54419640976505, 73.82287993620326 18.5451132228295, 73.82143653958084 18.54565384266374, 73.81847846749002 18.546768865668454, 73.81617972472031 18.547343268617283, 73.81274052042133 18.548796161569427, 73.8099250060215 18.549860482283393, 73.80722454105839 18.550446902445145, 73.8050861756918 18.550936823940134, 73.80398135358544 18.551950450157506, 73.80237757955999 18.553521558900016, 73.80166479110372 18.554247980633846, 73.80057682540104 18.55475040596147, 73.79973929896582 18.55508827448719, 73.79836718118838 18.55491934030843, 73.79722671965905 18.55490244688066, 73.79628227495584 18.55497002057973, 73.79523091198354 18.55549371583686, 73.79462504179634 18.556253915770057, 73.79409567735618 18.55685117444304, 73.79263446102172 18.55821952100328, 73.79133362209035 18.558844564546618, 73.78965856921988 18.559503391749388, 73.78857156682454 18.560196002220266, 73.78748456442923 18.561294037449102, 73.78629064376588 18.561530536420378, 73.78513412637076 18.561607219808963, 73.78442133791452 18.561826825603816, 73.78388674657342 18.562485641292312, 73.78312049898318 18.563448521184256, 73.78194439803076 18.563921512825203, 73.78050100140837 18.564208685681066, 73.77902082698 18.564164196753737, 73.77722103612842 18.564181089264636, 73.775688540949 18.564434476717906, 73.77403130778953 18.564941250497384, 73.77228497607297 18.565650731258685, 73.7705691483535 18.56631904220312, 73.76866243923394 18.567011625006174, 73.76811002818079 18.567636636341874, 73.76741505943659 18.56836299798836, 73.76575091546786 18.569056921704473)"
solapur service road,,,"LINESTRING (73.95393242994737 18.49869220972937, 73.95420550003567 18.49761956281145, 73.95627260230654 18.496472903379058, 73.95759868822026 18.49636192589051, 73.9585737559558 18.49673180500072, 73.95915878687259 18.49621395121052, 73.95931478745948 18.49554814133603, 73.96032892028876 18.494697415050922, 73.96212312536312 18.493772727694804, 73.96380031172899 18.493513869907076, 73.96493142407888 18.49266318442045, 73.96590646585469 18.492034291909718, 73.96606246082979 18.491072501430196, 73.964463318399 18.48944492926114, 73.96309806347779 18.488382947062163, 73.96255197712804 18.486940253770456, 73.96223994043638 18.48597846139664, 73.9659843983361 18.481391377094837, 73.96797364023428 18.481502326730165, 73.97070398872782 18.482131181388183, 73.97171812125393 18.482094180375213, 73.9727712488895 18.481317336428674, 73.97366835647605 18.480762446835428, 73.97526757041669 18.481169356076137, 73.9764767028721 18.481650294565824, 73.97801826335606 18.480774363982874, 73.97887633869777 18.480256447989362, 73.98051455932105 18.47714908289747, 73.98106061277173 18.47640920815475, 73.9840639250246 18.475928247260256, 73.98601412960289 18.476113234101774, 73.98675520403032 18.47622422399695, 73.98769129106404 18.47581731375638, 73.98812035477465 18.47492942755899, 73.98812035347748 18.47441151380562, 73.98843237163891 18.473671660574695, 73.98968049679485 18.47315374810175, 73.99046062092157 18.47248778069273, 73.99081166142807 18.47256176630414, 73.99127971360636 18.472450780885126, 73.99163077013424 18.47344960951861, 73.99217687674422 18.475077312998664, 73.99264502032571 18.476113076273265, 73.99295711381137 18.477222868354175, 73.99330815948491 18.477296857503987, 73.99521937881394 18.476963926402547, 73.99728662556049 18.476778964525295, 73.9979499796417 18.480478296277255, 73.99857419512216 18.48410369412929, 73.99966641524301 18.487803041575447, 74.0003681532159 18.490503371020097, 73.9999910971739 18.490805947743567, 74.00025621251618 18.49217563221127)"
karve road,,,"LINESTRING (73.83057697674104 18.540835609921373, 73.8296135963995 18.5399298449625, 73.83021270020095 18.536003438926556, 73.82990185647168 18.531232401672455, 73.82951233218273 18.52356577480434, 73.82922060487326 18.52085795004237, 73.83030093926246 18.520105242183888, 73.82920897333793 18.515887913147083, 73.82871285662881 18.513939929967506, 73.82949783277954 18.510759023741244, 73.82861039320079 18.509823555589847, 73.82841234728173 18.507952103804584, 73.82772317443983 18.506923563247184, 73.8231848450616 18.50495884987643, 73.8192353368133 18.503179845931797, 73.81539263930739 18.50205930438061, 73.81361739852113 18.500375576384428, 73.81361811972971 18.49803716003494, 73.81342415463905 18.49598104260137, 73.81332663528377 18.494485109993434, 73.81499853270097 18.493078439240136, 73.81509596486126 18.49027072707446, 73.81081668788036 18.484999037666356, 73.80873406493464 18.482747298058825, 73.80576902309718 18.480685247321645, 73.80556091953054 18.48035513234538, 73.804560273883 18.480126135361473)"
katraj dehu bypass,,,"LINESTRING (73.75253985977636 18.60424921144542, 73.77418486184709 18.546589308645792, 73.77461002132367 18.544943512457394, 73.77639291329584 18.54309929087259, 73.77904064363707 18.54110145576759, 73.78098535898735 18.539256878453116, 73.78109346303182 18.537156441494602, 73.78033615562879 18.5336716494583, 73.77862678229295 18.529083098506973, 73.77693318975398 18.527578083705635, 73.7739435466971 18.526506100994922, 73.77175187790928 18.524741099055746, 73.76975665225729 18.522156470204095, 73.7691632324069 18.519510490836424, 73.76890361428158 18.51692936254412, 73.76946675334429 18.514408279378557, 73.7709609698041 18.511933563948702, 73.77331004592475 18.510205943618814, 73.7748806694674 18.509032579385632, 73.7776852086817 18.508477879154654, 73.78055075044713 18.50804570278909, 73.7834851399441 18.507307358139613, 73.78563078835603 18.50730527284162, 73.78784357314743 18.507427400656837, 73.78947041209128 18.507424763023394, 73.79051268912806 18.506991519949707, 73.79162041183903 18.50631124020805, 73.79207660951036 18.5053226267417, 73.79259795335807 18.503717332289852, 73.79233731759024 18.502357813838202, 73.79109886096381 18.500562118053722, 73.78947014154721 18.498464068273606, 73.78790698559462 18.496427509201084, 73.78790563943062 18.495433754082853, 73.78835906248258 18.493455506012864, 73.78914039476294 18.492465598408828, 73.79050951651166 18.49085723641973, 73.79220498166114 18.489805304906767, 73.79422686832936 18.488258309005076, 73.79592286533443 18.48733001856111, 73.79722748116563 18.486154617549133, 73.79957629471014 18.484606898420978, 73.8019258673726 18.48287272167704, 73.80355777821899 18.481076963112187, 73.80525461123688 18.47946747687827, 73.80747357451966 18.476621582131955, 73.80949765105672 18.474516807465918, 73.81190987538105 18.47185584483455, 73.81406210901457 18.469442720788606, 73.81582275649419 18.467586787830754, 73.81862479209244 18.464247634079044, 73.82064514377169 18.461959790469322, 73.82312071226025 18.460291615311192)"
mum-pune highway,,,"LINESTRING (73.82223725246624 18.606767969714994, 73.8252871315494 18.603234757903635, 73.8282239396313 18.597881498600117, 73.83116045546942 18.590924393291118, 73.83319358877637 18.58674888874701, 73.83454916151814 18.580324856372215, 73.83759942972725 18.571222788774563, 73.83951616946086 18.565984010294414, 73.84222553228071 18.562345944365674, 73.84324107384728 18.56041442971606, 73.84382389822628 18.559779034847693, 73.84665065137199 18.557403176142273, 73.850118714464 18.551021113636338, 73.85145919372917 18.548451786868014, 73.85175060594815 18.547236097863603, 73.8516049210524 18.543147018166238, 73.85049749785261 18.53781442637046, 73.85076308499342 18.536318576909437, 73.85140420012729 18.534909454161706, 73.85242416211676 18.533334505713967, 73.85423091538152 18.531262293023318, 73.85507110819793 18.53028489629436)"
satara road,,,"LINESTRING (73.85507121209699 18.53028488947497, 73.85327925913347 18.52969464593353, 73.85125942890264 18.527345618611278, 73.85291247625676 18.52629966747486, 73.85447398620761 18.522815254542436, 73.85603561150182 18.520028285908836, 73.85631116381083 18.515417521774737, 73.85778116215349 18.512282585464447, 73.85805726228187 18.506886962149963, 73.85897531692152 18.50453819287685, 73.8582417111742 18.498711980204092, 73.85787485059657 18.494275208740532, 73.85769190427271 18.49045090342713, 73.85769220452849 18.48671341940711, 73.85741754781225 18.483673691527386, 73.85723446540601 18.4815895176462, 73.85723477761971 18.47846289551167, 73.85686840701337 18.477246553167873, 73.85641042602722 18.47611747404592, 73.85641120029936 18.473425942413627, 73.85760513328898 18.4683176110574, 73.85797313750135 18.465108755692768, 73.85834038195645 18.459734548242594, 73.85834069240596 18.456179903586403, 73.85843273236031 18.453755959127335, 73.8585239931902 18.44829071105481)"
shivaji road,,,"LINESTRING (73.85530962381841 18.521322510508284, 73.85450204521169 18.520061421845924, 73.85450214689999 18.518529824288038, 73.85397964135097 18.51825955642586, 73.85378967688303 18.516097483948812, 73.85374220777345 18.51357507305869, 73.85369478769451 18.50988150420629, 73.85363130094717 18.505157316677312, 73.8538851529193 18.501275556585085, 73.85462633496448 18.501311382889924, 73.85589299093323 18.501059280969088, 73.85850449151172 18.500584735171074, 73.86019336613728 18.500466098516043, 73.86211680668231 18.500050869575816, 73.86466575634833 18.499902573281673, 73.86658154159718 18.500464901962232, 73.86838311936359 18.501221819226913, 73.86922689629148 18.501438080688104)"
